No.	User	DL	UD	RD	PT	UP	PM	BL	UB	BM	UR	RM	IM	Total
1427	OlEnglish	969	53	110	102	17	32	308	0	21	0	41	0	1653
2046	UkPaolo	1441	57	0	15	5	0	131	3	0	0	0	0	1652
406	Coren	965	29	61	68	8	10	411	57	28	0	4	0	1641
1064	Khukri	1069	12	0	68	8	4	451	14	1	0	0	0	1627
1307	MilborneOne	1431	10	0	72	14	11	87	1	0	0	1	0	1627
1755	Scott5114	1431	13	1	138	5	1	30	5	0	0	1	0	1625
1516	Philosopher	1397	40	19	58	2	8	46	2	7	0	33	0	1612
703	Fuzheado	888	25	0	64	14	6	571	42	0	0	0	0	1610
2018	Topbanana	1537	40	0	23	1	3	5	0	1	0	0	0	1610
1044	Katefan0	841	20	0	212	128	0	350	52	0	0	0	0	1603
889	ItsZippy	1014	20	22	188	7	24	281	2	8	0	36	0	1602
219	Bkell	1525	32	8	16	2	1	4	0	0	0	0	0	1588
481	Dcoetzee	756	357	112	198	6	1	90	18	8	0	38	0	1584
539	Dravecky	1374	38	0	126	5	2	32	0	3	0	0	0	1580
744	Ginkgo100	964	17	0	38	13	0	529	14	0	0	2	0	1577
1350	Musical Linguist	324	149	0	109	24	0	900	71	0	0	0	0	1577
591	Eluchil404	1452	95	0	7	1	2	17	0	0	0	0	0	1574
43	Agathoclea	1244	67	3	54	7	4	175	16	1	0	2	0	1573
220	Bkonrad	1151	216	19	14	1	0	169	2	0	0	0	0	1572
139	Arthur Rubin	589	69	70	54	11	6	689	52	23	0	2	0	1565
2005	Tom	1393	31	0	34	11	5	84	1	1	0	0	0	1560
491	Deiz	955	16	0	164	8	3	392	20	0	0	0	0	1558
526	Donald Albury	1313	6	12	11	2	3	196	6	8	0	0	0	1557
826	Henrygb	1491	36	0	6	3	0	21	0	0	0	0	0	1557
1958	The-G-Unit-Boss	1409	5	0	102	3	12	24	0	0	0	0	0	1555
897	J.smith	1180	50	1	27	7	2	241	43	0	0	0	0	1551
2101	Warofdreams	1035	28	0	5	1	1	27	1	0	257	184	0	1539
721	Ganeshk	1325	151	2	14	8	4	22	10	2	0	0	0	1538
1360	Nabla	1446	65	0	17	6	1	2	1	0	0	0	0	1538
1806	SilkTork	1201	69	9	54	6	22	75	20	77	0	5	0	1538
871	Improv	1233	9	0	188	11	0	79	15	0	0	0	0	1535
1016	Jtkiefer	870	100	0	53	15	0	403	85	0	0	0	0	1526
109	Angelo.romano	1109	122	0	164	20	16	90	2	2	0	0	0	1525
1213	Manning Bartlett	1412	12	0	14	1	10	49	11	2	0	4	0	1515
631	EyeSerene	485	27	5	106	5	25	770	36	32	0	14	0	1505
691	Fred J	1431	16	0	12	7	0	36	1	0	0	0	0	1503
2120	WikiLeon	693	21	4	114	21	3	567	62	13	0	5	0	1503
1495	Pepsidrinka	993	33	0	34	19	0	389	34	0	0	0	0	1502
1030	KFP	906	161	20	263	8	6	102	14	2	0	12	0	1494
1628	Rhobite	719	15	0	67	26	0	617	47	0	0	0	0	1491
1379	Nev1	505	47	56	316	5	89	442	6	7	0	16	0	1489
1587	Rama's Arrow	1202	3	0	46	9	0	200	25	0	0	0	0	1485
1760	Sean William	860	45	0	109	8	4	413	35	0	0	2	0	1476
277	C12H22O11	1357	5	0	49	8	0	47	7	0	0	0	0	1473
2044	Ucucha	1164	101	18	60	5	15	91	1	7	0	7	0	1469
52	Alai	1393	17	0	10	3	0	42	3	0	0	0	0	1468
1005	JoshuaZ	597	51	0	102	13	0	627	71	0	0	0	0	1461
1646	Rlandmann	1286	92	0	23	3	0	48	3	0	0	0	0	1455
