Jéské Couriano (2nd)	25 August 2011	WP:SNOW	Steven Zhang	(9/22/8)
RobertMfromLI	13 August 2011	Withdrawn by candidate	Jenks24	(17/15/3)
My76Strat (2nd)	1 August 2011	Withdrawn by candidate	SoWhy	(8/5/2)
Richardcavell (3rd)	31 July 2011	No consensus	Avi	(27/25/4)
Curtis23 (4th)	28 July 2011	WP:SNOW	28bytes	(1/10/1)
CWH	25 July 2011	WP:SNOW	TP	(4/11/3)
N5iln	24 July 2011	No consensus	Avi	(50/26/7)
GSorby 3	11 July 2011	Withdrawn by candidate	Reaper Eternal	(1/8/0)
TedPavlic	11 July 2011	WP:SNOW	Worm That Turned	(6/12/2)
Timl2k4	10 July 2011	WP:SNOW	Porchcorpter	(4/9/2)
E2eamon	8 July 2011	Withdrawn by candidate	HJ Mitchell	(30/19/3)
Dudemanfellabra	5 July 2011	Withdrawn by candidate	ArcAngel	(11/21/10)
Methecooldude	1 July 2011	Withdrawn by candidate	Eagles247	(0/3/0)
Guoguo12 (2nd)	21 June 2011	Withdrawn by candidate	28bytes	(30/8/2)
Curtis23 (3rd)	18 June 2011	WP:SNOW	Salvio giuliano	(0/7/0)
Wikiman1717	16 June 2011	WP:NOTNOW	Hersfold	(0/0/0)
Snakenath	7 June 2011	WP:NOTNOW	Aiken drum	(0/2/0)
Jsfouche	6 June 2011	No consensus	Xeno	(45/26/6)
Ttonyb1	6 June 2011	Withdrawn by candidate	Ttonyb1	(15/5/9)
Ke5crz	3 June 2011	WP:NOTNOW	King of Hearts	(1/4/2)
Ebikeguy	29 May 2011	Withdrawn by candidate	28bytes	(6/14/9)
Moxy	28 May 2011	Withdrawn by candidate	DeltaQuad	(5/6/6)
Logan	21 May 2011	Unsuccessful	The Rambling Man	(76/29/4)
Ancient Apparition	16 May 2011	Withdrawn by candidate	Filelakeshoe	(14/21/4)
N419BH	16 May 2011	Withdrawn by candidate	Gfoley4	(15/22/6)
Armbrust (2nd)	13 May 2011	Withdrawn by candidate	Armbrust	(15/15/8)
Who Am I Why Am I Here (2nd)	11 May 2011	WP:NOTNOW	Baseball Watcher	(0/3/0)
Katharineamy	8 May 2011	Withdrawn by candidate	HJ Mitchell	(2/2/0)
Floydian	5 May 2011	WP:SNOW	Salvio giuliano	(1/10/6)
Hazard-SJ	1 May 2011	Unsuccessful	HJ Mitchell	(6/20/4)
Andrew J Powers	1 May 2011	WP:NOTNOW	Baseball Watcher	(0/3/0)
Dylan620 (2nd)	26 April 2011	Unsuccessful	Andrevan	(84/48/13)
Wikispott	24 April 2011	WP:NOTNOW	Courcelles	(0/3/0)
Ant682	23 April 2011	WP:NOTNOW	Baseball Watcher	(0/3/0)
Wikipedian2 (3rd)	15 April 2011	WP:NOTNOW	28bytes	(0/4/1)
BuickCenturyDriver (2nd)	15 April 2011	Withdrawn by candidate	28bytes	(9/19/4)
Cjc811	13 April 2011	WP:NOTNOW	Reaper Eternal	(0/4/0)
SilverSoul91911	8 April 2011	WP:NOTNOW	Alpha Quadrant	(0/5/0)
Rehman (3rd)	8 April 2011	Withdrawn by candidate	Xeno	(13/21/5)
ZooPro (4th)	7 April 2011	WP:SNOW	Armbrust	(2/20/2)
Wilbysuffolk	5 April 2011	WP:SNOW	Salvio giuliano	(0/8/0)
Wikipedian2 (2nd)	3 April 2011	WP:NOTNOW	Eagles247	(0/5/0)
Neutralhomer	29 March 2011	Withdrawn	MSGJ	(41/41/11)
NickPenguin	27 March 2011	Unsuccessful	Nihonjoe	(51/30/5)
MacMed (2nd)	24 March 2011	WP:NOTNOW/WP:SNOW	HJ Mitchell	(2/6/0)
SunCountryGuy01	22 March 2011	WP:SNOW WP:NOTNOW	Gfoley4	(0/13/0)
Dusti (2nd)	16 March 2011	WP:SNOW	Ktr101	(0/17/3)
