date,bases,open_access_bases,bytes,open_access_bytes
"03/05/2010",19152793578241,18510314222551,56514761728834,55846029370412
"03/06/2010",19152887293936,18510407938246,56514977285390,55846244926968
"03/07/2010",19152997956751,18510518601061,56515226605877,55846494247455
"03/08/2010",19167674978927,18525195623237,56531285593330,55862553234908
"03/09/2010",19177073189540,18534593833850,56610348866305,55941616507883
"03/10/2010",19184173452390,18541694096700,56618213931349,55949481572927
"03/11/2010",19285708873775,18643229518085,56733146770965,56064414412543
"03/12/2010",19292192287067,18649712931377,56743155220482,56074422862060
"03/13/2010",19305247346389,18662767990699,56756871831954,56088139473532
"03/14/2010",19305248887635,18662769531945,56756875177594,56088142819172
"03/15/2010",19962701202992,19320221847302,60596988885095,59928256526673
"03/16/2010",20080769152511,19438289796821,60727651815578,60058919457156
"03/17/2010",20128774293332,19486294937642,60779482952762,60110750594340
"03/18/2010",20214428203508,19571948847818,60941559341669,60272826983247
"03/19/2010",20458837608714,19816358253024,61199317464327,60530585105905
"03/20/2010",20583880196042,19941400840352,62165462564096,61496730205674
"03/21/2010",20631429527337,19988950171647,62387837367844,61719105009422
"03/22/2010",20704299466041,20061820110351,62482654749066,61813922390644
"03/23/2010",20790297702204,20147818346514,62581882109785,61913149751363
"03/24/2010",20911018251746,20268538896056,62725363571302,62056631212880
"03/25/2010",20924720384287,20282241028597,62740806099773,62072073741351
"03/26/2010",20935644659099,20293165303409,62760368234605,62091635876183
"03/27/2010",20985459925075,20342980569385,62861393175919,62192660817497
"03/29/2010",21089488196894,20447008841204,62979899021375,62311166662953
"03/30/2010",21121499944032,20479020588342,63022933558005,62354201199583
"03/31/2010",21242725572952,20600246217262,63194867640366,62526135281944
"04/01/2010",21252539776701,20610060421011,63237883674629,62569151316207
"04/02/2010",21282139134540,20639659778850,63268813998499,62600081640077
"04/03/2010",21287257640452,20644778284762,63274077694653,62605345336231
"04/05/2010",21300087476653,20657608120963,63288423192586,62619690834164
"04/06/2010",21337481323333,20695001967643,63568166505221,62899434146799
