Date  Debt Held by the Public	Intragovernmental Holdings	Total Public Debt Outstanding
01/10/2003	NA	NA	6382620048093.48
01/13/2003	NA	NA	6380582269971.85
01/14/2003	NA	NA	6383462572294.58
01/15/2003	NA	NA	6386957326682.31
01/16/2003	NA	NA	6384824540523.90
01/17/2003	NA	NA	6388587973011.41
01/21/2003	NA	NA	6387841175651.97
01/22/2003	NA	NA	6389894461722.18
01/23/2003	NA	NA	6389561622961.91
01/24/2003	NA	NA	6392119196353.47
01/27/2003	NA	NA	6395237394489.82
01/28/2003	NA	NA	6399121608270.48
01/29/2003	NA	NA	6399240555827.75
01/30/2003	NA	NA	6399305080810.20
01/31/2003	NA	NA	6401376662047.32
02/03/2003	NA	NA	6379432578400.38
02/04/2003	NA	NA	6388239504295.45
02/05/2003	NA	NA	6387332567273.92
02/06/2003	NA	NA	6401330573005.21
02/07/2003	NA	NA	6398607223793.01
02/10/2003	NA	NA	6400363175585.80
02/11/2003	NA	NA	6403775445922.86
02/12/2003	NA	NA	6400775460992.07
02/13/2003	NA	NA	6414860990193.10
02/14/2003	NA	NA	6414086191317.72
02/18/2003	NA	NA	6437926287364.49
02/19/2003	NA	NA	6442718474145.91
02/20/2003	NA	NA	6446175354465.78
02/21/2003	NA	NA	6446140296660.54
02/24/2003	NA	NA	6446038803864.15
02/25/2003	NA	NA	6446004668324.03
02/26/2003	NA	NA	6445970533267.53
02/27/2003	NA	NA	6446165774125.26
02/28/2003	3683888032284.53	2761902070509.55	6445790102794.08
03/03/2003	NA	NA	6445698726713.18
03/04/2003	NA	NA	6445657357431.67
03/05/2003	NA	NA	6460621838679.66
03/06/2003	NA	NA	6460801790956.35
03/07/2003	NA	NA	6460766227729.85
03/10/2003	NA	NA	6460659531541.01
03/11/2003	NA	NA	6460621340512.27
03/12/2003	NA	NA	6460585777680.29
03/13/2003	NA	NA	6460744895144.64
03/14/2003	NA	NA	6460709229897.82
03/17/2003	NA	NA	6460602930313.42
03/18/2003	NA	NA	6460568106011.18
03/19/2003	NA	NA	6460533569239.51
03/20/2003	NA	NA	6460712491314.69
03/21/2003	NA	NA	6460674090486.67
03/24/2003	NA	NA	6460570026872.52
03/25/2003	NA	NA	6460535345690.24
03/26/2003	NA	NA	6460500338259.08
03/27/2003	NA	NA	6460683851496.24
03/28/2003	NA	NA	6460649275186.23
03/31/2003	3711311962399.17	2749464294178.99	6460776256578.16
04/01/2003	NA	NA	6460741982363.11
04/02/2003	NA	NA	6460707711622.02
04/03/2003	NA	NA	6460883083990.99
04/04/2003	NA	NA	6460848478613.52
04/07/2003	NA	NA	6460744653570.51
04/08/2003	NA	NA	6460697206431.50
04/09/2003	NA	NA	6460664200138.40
04/10/2003	NA	NA	6460828617061.12
04/11/2003	NA	NA	6460792544188.95
04/14/2003	NA	NA	6460686804499.03
04/15/2003	NA	NA	6460651308615.55
04/16/2003	NA	NA	6460617585976.91
04/17/2003	NA	NA	6460780111309.05
04/18/2003	NA	NA	6460747047775.30
04/21/2003	NA	NA	6460647854361.95
04/22/2003	NA	NA	6460605341148.70
04/23/2003	NA	NA	6460572277868.61
04/24/2003	NA	NA	6460743188902.46
04/25/2003	NA	NA	6460710818047.88
04/28/2003	NA	NA	6460613708360.89
04/29/2003	NA	NA	6460581338149.98
04/30/2003	3702844997678.07	2757535748111.21	6460380745789.28
05/01/2003	NA	NA	6460544146581.37
05/02/2003	NA	NA	6460512105716.15
05/05/2003	NA	NA	6460415978242.13
05/06/2003	NA	NA	6460377391988.34
05/07/2003	NA	NA	6460345350371.45
05/08/2003	NA	NA	6460497884145.02
05/09/2003	NA	NA	6460466362233.10
05/12/2003	NA	NA	6460371786677.29
05/13/2003	NA	NA	6460340581249.18
05/14/2003	NA	NA	6460308855091.23
05/15/2003	NA	NA	6460444642526.75
05/16/2003	NA	NA	6460414110545.71
05/19/2003	NA	NA	6460322505519.43
05/20/2003	NA	NA	6460276922875.71
05/21/2003	NA	NA	6460247153270.68
05/22/2003	NA	NA	6460406169833.02
05/23/2003	NA	NA	6460375443807.49
05/27/2003	NA	NA	6542346018594.47
05/28/2003	NA	NA	6547151634901.82
05/29/2003	NA	NA	6556905547599.90
05/30/2003	3776618318157.35	2781524839178.20	6558143157335.55
06/02/2003	NA	NA	6538800096469.64
06/03/2003	NA	NA	6567421336173.17
06/04/2003	NA	NA	6567808412367.78
06/05/2003	NA	NA	6581232550833.36
06/06/2003	NA	NA	6578826704876.87
06/09/2003	NA	NA	6578526953822.51
06/10/2003	NA	NA	6582527844624.59
06/11/2003	NA	NA	6579572865438.72
06/12/2003	NA	NA	6602705918937.27
06/13/2003	NA	NA	6580840027529.36
06/16/2003	NA	NA	6596236244735.40
06/17/2003	NA	NA	6602818956109.58
06/18/2003	NA	NA	6600926386357.06
06/19/2003	NA	NA	6598367956292.64
06/20/2003	NA	NA	6598471605777.22
06/23/2003	NA	NA	6598914818573.85
06/24/2003	NA	NA	6603982165220.17
06/25/2003	NA	NA	6600897675744.41
06/26/2003	NA	NA	6592029519474.02
06/27/2003	NA	NA	6589675806363.96
06/30/2003	3816831315563.84	2853289839463.42	6670121155027.26
07/01/2003	NA	NA	6661149640189.12
07/02/2003	NA	NA	6664585450219.34
07/03/2003	NA	NA	6656271436016.11
07/07/2003	NA	NA	6656880050796.69
07/08/2003	NA	NA	6661139880068.78
07/09/2003	NA	NA	6660190974044.60
07/10/2003	NA	NA	6659226260487.87
07/11/2003	NA	NA	6659621392684.00
07/14/2003	NA	NA	6705859055894.83
07/15/2003	NA	NA	6720371180827.98
07/16/2003	NA	NA	6718761956467.36
07/17/2003	NA	NA	6722160964748.21
07/18/2003	NA	NA	6721854190498.46
07/21/2003	NA	NA	6722777711908.14
07/22/2003	NA	NA	6726006109521.64
07/23/2003	NA	NA	6722660101579.94
07/24/2003	NA	NA	6727820331966.78
07/25/2003	NA	NA	6728160376478.94
07/28/2003	NA	NA	6728491430522.85
07/29/2003	NA	NA	6731342127928.26
07/30/2003	NA	NA	6730118761619.41
07/31/2003	3902893862015.02	2848301245048.05	6751195107063.07
08/01/2003	NA	NA	6727587083455.60
08/04/2003	NA	NA	6732382078949.43
